Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Category,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index
Yemen,2016,1st,113.5,10,10,9.6,9.7,8.1,7.3,9.8,9.8,9.9,9.7,9.6,10,Alert,8.42,8.3,5.22,8.435,1.19,8.2
Somalia,2016,2nd,112.3,9.6,10,8.9,8.8,9.4,9.2,9,9.4,9.3,10,9.4,9.2,Alert,8.45,6.65,1.5,8.1625,1.54,7.68
South Sudan,2016,3rd,112.2,9.7,9.7,9.4,9.8,8.9,6.5,10,9.8,9.3,9.7,10,9.4,Alert,4.98,6.33,0.76,6.378,5.66,4.69
Syria,2016,4th,111.5,9.8,9.9,10,8.8,7.5,8.4,9.9,9.4,10,7.9,10,10,Alert,7.81,7.49,0.86,7.9935,1.29,7.06
Congo Democratic Republic,2016,5th,110.2,8.8,9.8,10,8.3,8.6,7,9.4,9.2,9.6,9.8,10,9.7,Alert,8.82,5.74,0.62,7.647,2.42,8.18
Central African Republic,2016,6th,108.9,8.6,9.4,8.3,8.7,9.9,7.1,9.1,10,9.5,9.1,10,9.2,Alert,4.88,7.53,0.38,8.247,1.87,4.62
Chad,2016,7th,108.5,9.5,9.8,8.2,9,9,8.5,9.6,9.1,8.8,9.5,9.5,8,Alert,9.19,8.2,1.12,3.369,0.44,8.9
Sudan,2016,8th,108,8.4,9.7,10,8.1,7.7,8.3,9.8,8.6,9.4,9.4,9.6,8.9,Alert,3.47,5.07,1.28,4.95,9.35,3.38
Afghanistan,2016,9th,105,10,8.6,7.8,8.6,7.5,7.8,9,9.8,7.9,9.3,9.6,9.1,Alert,4.79,6.04,1.82,2.7165,6.81,3.98
Zimbabwe,2016,10th,99.5,8.8,10,6.7,8.1,7.9,7.3,9.4,8.6,8.2,9,8.2,7.3,Alert,6.62,7.44,5.28,7.39,2.01,7.21
Guinea,2016,11th,99.4,8.6,9.6,9.1,8.6,7.3,7.1,9.8,9.2,7.1,8.6,7.6,6.8,Alert,7.51,7.34,2.24,6.018,1.11,7.25
Haiti,2016,12th,99.3,7.2,9.3,5.9,8.4,9.2,8.4,8.8,9.2,7.2,8.7,7.4,9.6,Alert,4.21,5.52,0.66,5.6095,6.24,3.53
Iraq,2016,13th,99.1,8.7,9.6,8.8,5.9,6.7,7.1,8.9,8.7,8.1,8.4,9.1,9.1,Alert,6.37,7.18,1.38,4.2405,2.51,5.08
Nigeria,2016,14th,98.5,9,9.9,9.4,7.8,8.1,6.9,8,8.9,8.3,9.2,7.2,5.9,Alert,5.55,6.48,0.7,6.095,3.34,4.75
Burundi,2016,15th,98.2,8.6,7.9,7.9,8.4,7.2,6,9,8.2,9,9.1,8.4,8.4,Alert,8.36,5.85,1.92,8.32,1.23,6.81
Cameroon,2016,16th,97,8.5,9.6,8.5,6.5,7.5,7.5,9.2,8.2,7.7,8.3,8.3,7.2,Alert,6.15,6.8,2.26,6.0785,2.36,5.25
Eritrea,2016,17th,96.4,6.6,8.1,7.7,7.7,8.4,8.9,9.4,7.8,8.7,8.4,7.7,7,Alert,3.51,7.49,0.96,6.5935,0.48,2.06
Niger,2016,18th,96.2,8.7,8.9,7.7,7.1,8,7.6,7.3,9.3,6.8,8.8,8.3,7.8,Alert,3.99,5.87,2.14,3.821,6.22,2.61
Guinea Bissau,2016,19th,95.5,8.3,9.6,4.9,7.7,9.2,7.5,8.9,8.9,7.2,8.5,6.7,8,Alert,8.23,7.66,2.46,4.3,0.56,7.17
Uganda,2016,20th,95.3,7.5,8.9,8.3,6.3,7,7.3,8.6,7.8,8,9,9.1,7.5,Alert,6.37,6.59,0.96,6.4215,4.07,5.46
Mali,2016,21st,94.5,9.5,5.4,8.1,7.4,7,8.3,6.5,8.5,7.6,8.3,8.4,9.6,Alert,8.96,7.33,1.64,6.7645,3.7,7.83
Myanmar,2016,22nd,94.3,8.7,8,9.8,5.3,7.1,6.9,8.3,8.3,9.3,5.8,9.1,7.7,Alert,7.64,5.57,0.16,7.612,8.74,7.52
Pakistan,2016,23rd,94.2,8.5,9.3,9.4,6.3,5.9,6.8,7.9,8,7.4,7.8,8.1,8.8,Alert,6.79,7.46,4.16,7.9545,1.81,6.37
Ethiopia,2016,23rd,94.2,8.2,7.9,8.5,6.4,6.5,6.6,8,8.3,8.2,9,8.7,7.9,Alert,9.02,8.35,1.34,6.256,1.58,8.42
Kenya,2016,25th,93.5,7.9,9.1,8.6,6.6,7.4,7.2,8.2,8,6.8,8.6,7.7,7.5,Alert,7.23,7.28,2.04,8.73,4.61,6.41
North Korea,2016,26th,92.7,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.1,4.4,9.8,Alert,7.75,7.94,0.54,3.6905,0.86,6.84
Congo Republic,2016,27th,92.5,7,6.7,7.8,7.6,8.1,7.4,9,8.9,8.4,8.1,7,6.5,Alert,8.81,8.31,1.02,5.405,1.39,8.04
Libya,2016,28th,92.2,9,9.7,7.5,7.7,5.3,6,9.7,6.4,9.1,4.3,7.7,9.7,Alert,7.01,6.91,5.38,6.7055,1.39,7.25
Cote dIvoire,2016,29th,92.1,7.4,9.1,7.5,6.7,7.6,7,7.3,8.2,7.3,8.3,7.2,8.4,Alert,7.38,6.94,0.76,8.248,0.35,6.41
Liberia,2016,30th,90.2,6.7,8.3,5.2,7.9,7.8,7.5,6.6,8.7,6.5,8.2,8.1,8.7,Alert,9.19,8.26,3.2,5.9255,3.93,9.06
